物流单号,spu_id,商品名称,品牌,一级分类,发货仓库,目的地城市,物流公司,运输方式,发货日期,预计到达,实际到达,运输天数,物流运费,发货数量,件单价,物流状态
YT2604262101423,3480100738686968172,百钻葡萄糖内脂内酯 家用做豆腐脑豆腐每盒3g 24包,百钻 (Baker Dream),食品酒水,武汉东西湖仓,济南,韵达物流,标准快递,2026-04-26,2026-04-30,2026-04-30,4,14.56,1,25.64,已签收
YT2606107049028,3481821165096430762,SK II 淨肌護膚潔面乳 120g,SK-II,个护化妆,上海嘉定仓,苏州,德邦物流,特快专递,2026-06-10,2026-06-13,2026-06-13,3,109.81,60,299.0,派送中
YT2605221845569,3456936205751572535,五粮液股份出品 五粮情 52度500ml 2瓶 6瓶,五粮液 (WULIANGYE),食品酒水,北京通州仓,苏州,顺丰速运,同城配送,2026-05-22,2026-05-23,2026-05-23,1,16.18,2,284.01,派送中
YT2605249259481,3457607693806744307,2Y15唐狮电商灯芯绒羽绒服,唐狮 (tonlion),服装,上海嘉定仓,长春,圆通快递,标准快递,2026-05-24,2026-05-27,2026-05-27,3,24.62,8,340.0,派送中
YT2606023176228,3478034309619796150,苏泊尔电水壶1 7L大容量家用不锈钢烧水壶自动断电大容量开水壶,苏泊尔 (SUPOR),家用电器,成都双流仓,武汉,申通快递,特快专递,2026-06-02,2026-06-03,2026-06-03,1,13.54,1,169.0,运输中
YT2605068950781,3457089974288134865,贵人鸟童鞋 GRN 836EM 经典秋冬二棉大棉鞋 26 38码,贵人鸟,运动健康,上海嘉定仓,宁波,圆通快递,航空快件,2026-05-06,2026-05-08,2026-05-08,2,2528.59,1785,69.9,已揽收
YT2605274580687,3469332907288575157,FIRS杉杉 XNK8109017男士牛仔裤,杉杉 (Firs),服装,成都双流仓,天津,韵达物流,同城配送,2026-05-27,2026-05-28,2026-05-30,3,10.48,1,119.0,已延误
YT2606258183694,3452108653644088517,路易威登 手提包 99成新 公价14000,路易威登 (Louis Vuitton),未分类,武汉东西湖仓,苏州,极兔速递,标准快递,2026-06-25,2026-06-29,2026-06-29,4,6.87,1,4161.0,已签收
YT2606064179033,3469151739343700776,承轩LV海盗包 9新 WCSM210311113,路易威登 (Louis Vuitton),箱包饰品,成都双流仓,哈尔滨,中通快递,陆运快件,2026-06-06,2026-06-09,2026-06-11,5,7.32,1,6500.0,已延误
YT2605275779114,3435199624653201859,戴维贝拉女童马甲2020秋冬季新款童装女宝宝中国风马夹DBJ15558,戴维贝拉 (DAVE＆BELLA),母婴,广州白云仓,北京,申通快递,标准快递,2026-05-27,2026-06-01,2026-06-04,8,20.19,3,159.0,已延误
YT2605227775372,3430830214870136781,后拱辰享精华隔离套盒,后 (The history of whoo),未分类,广州白云仓,沈阳,中通快递,陆运快件,2026-05-22,2026-05-23,2026-05-23,1,10.25,2,200.82,派送中
YT2605211045506,3490824496716336025,PMPM蓝版海茴香水乳洁面泥膜套装,PMPM,个护化妆,武汉东西湖仓,合肥,中通快递,航空快件,2026-05-21,2026-05-26,2026-05-28,7,20.85,2,242.91,已延误
YT2605153240697,3472827726656865332,亲子字母logo拖鞋,朴西,家居家装,武汉东西湖仓,太原,德邦物流,标准快递,2026-05-15,2026-05-18,2026-05-18,3,17.22,3,26.96,派送中
YT2606246649323,3448558390744366324,自然堂 雪域水乳90mL护肤品套装6件 冰肌水 乳液 爽肤水,自然堂 (CHANDO),未分类,武汉东西湖仓,长沙,顺丰速运,标准快递,2026-06-24,2026-06-27,2026-06-27,3,31.67,11,147.86,运输中
YT2604084158169,3475471384421999468,五粮液国鼎52度白酒500ML 4瓶一箱,五粮液 (WULIANGYE),食品酒水,广州白云仓,哈尔滨,圆通快递,同城配送,2026-04-08,2026-04-09,2026-04-12,4,19.81,2,126.75,已延误
YT2605186985057,3466377868848826763,FILA女新款潮流时尚连衣裙F11W128391F,斐乐 (FILA),服装,北京通州仓,宁波,中通快递,标准快递,2026-05-18,2026-05-20,2026-05-20,2,23.16,2,535.5,派送中
YT2605242021344,3485666507499921329,胖虎路易威登Turenne系列 9新 公价12800,路易威登 (Louis Vuitton),未分类,北京通州仓,长春,顺丰速运,特快专递,2026-05-24,2026-05-26,2026-05-26,2,16.95,1,7599.0,运输中
YT2604041306035,3470600667943535299,H骆驼男女运动速干休闲长裤J0W242110 J0W142113,骆驼(CAMEL),运动健康,广州白云仓,南昌,韵达物流,同城配送,2026-04-04,2026-04-09,2026-04-09,5,13.81,1,99.0,运输中
YT2606245559156,3489924931007939997,李宁亲子款单肩背包132,李宁 (LI-NING),母婴,武汉东西湖仓,大连,顺丰速运,标准快递,2026-06-24,2026-06-29,2026-06-29,5,8.42,1,89.0,运输中
YT2605087222909,3428522271000640103,巴拉巴拉2019年秋季新款女幼童保暖舒适收腰便服外套21053190204,巴拉巴拉 (BALABALA),未分类,北京通州仓,广州,德邦物流,同城配送,2026-05-08,2026-05-12,2026-05-12,4,20.25,1,59.01,运输中
YT2606106636208,3455810164161169010,卡雁CARD GEESE开衫MYJ T259 200118,卡雁(CARD GEESE),服装,上海嘉定仓,宁波,德邦物流,特快专递,2026-06-10,2026-06-13,2026-06-13,3,9.09,2,279.0,已签收
YT2604256403822,3480236912848033019,木架收纳筐,南象,家居家装,北京通州仓,天津,顺丰速运,航空快件,2026-04-25,2026-04-30,2026-04-30,5,19.66,3,18.24,运输中
YT2605224538896,3470255107801806498,立体闪亮复古时尚戒指,VEE,珠宝礼品,武汉东西湖仓,深圳,顺丰速运,航空快件,2026-05-22,2026-05-25,2026-05-25,3,19.82,1,69.0,运输中
YT2606159688410,3466931996947778248,特步男跑鞋881319119066,特步 (XTEP),运动健康,上海嘉定仓,北京,德邦物流,标准快递,2026-06-15,2026-06-17,2026-06-17,2,12.96,2,127.11,已签收
YT2604089034436,3475673473404301592,创意厨房用具硅胶锅盖抬高小雏菊花锅盖抬高防溢器,金铂喜,家居家装,广州白云仓,苏州,韵达物流,航空快件,2026-04-08,2026-04-13,2026-04-13,5,6.7,1,22.33,运输中
YT2605283946478,3426139274851024299,希芸清透肌洁面乳100ml 洗面奶控油清爽细致毛孔清洁皮肤温和,希芸 (SYRINX),个护化妆,广州白云仓,福州,京东物流,陆运快件,2026-05-28,2026-05-29,2026-05-29,1,16.68,1,72.5,运输中
YT2605158829976,3481384946868857270,B店精选B 路易威登 95新 市场价10000,路易威登 (Louis Vuitton),未分类,上海嘉定仓,长春,极兔速递,标准快递,2026-05-15,2026-05-20,2026-05-23,8,21.38,1,6699.0,已延误
YT2604102536723,3493426110904028347,家乐氏进口麦片谷脆格300g即食冲饮营养谷物健康早餐饱腹减脂食品,家乐氏 (KELLOGG’S),食品酒水,武汉东西湖仓,深圳,极兔速递,标准快递,2026-04-10,2026-04-14,2026-04-14,4,19.3,2,31.02,派送中
YT2605251605798,3411116806352580924,T巴拉巴拉男幼童七分裤21132191406,巴拉巴拉 (BALABALA),未分类,广州白云仓,合肥,中通快递,标准快递,2026-05-25,2026-05-28,2026-05-28,3,9.99,1,95.01,已揽收
YT2605189922968,3487881091346465259,辰辰妈 冰爽丝休闲百搭T恤 男女可穿B2253,辰辰妈,服装,武汉东西湖仓,长沙,申通快递,特快专递,2026-05-18,2026-05-23,2026-05-23,5,61.48,31,32.0,已签收
YT2605054276557,3478417916788092579,A12女款圆领短袖T恤12 030000203,森马 (Semir),服装,北京通州仓,宁波,韵达物流,航空快件,2026-05-05,2026-05-09,2026-05-09,4,18.95,2,40.1,运输中
YT2605088405588,3467813717410990813,MissCOCOON春装新款飘逸松紧腰网纱蛋糕裙9110509202,MISSCOCOON,服装,广州白云仓,哈尔滨,申通快递,标准快递,2026-05-08,2026-05-12,2026-05-15,7,13.43,3,562.73,已延误
YT2606207041285,3454692839156502410,天气丹 面霜小样10片装,后 (The history of whoo),个护化妆,北京通州仓,沈阳,德邦物流,特快专递,2026-06-20,2026-06-23,2026-06-23,3,44.89,14,33.8,已签收
YT2606239111058,3451466929871703242,苹果7代,苹果 (APPLE),电脑办公,武汉东西湖仓,南宁,申通快递,陆运快件,2026-06-23,2026-06-26,2026-06-27,4,21.45,1,1047.07,已延误
YT2604236151284,3489765115115500038,卡姿兰高分造型眉妆盘 送睫毛膏中样,卡姿兰 (CARSLAN),个护化妆,北京通州仓,北京,韵达物流,特快专递,2026-04-23,2026-04-27,2026-04-27,4,10.07,1,89.0,运输中
YT2604033054930,3492306653599155042,乐乐趣揭秘翻翻书系列第四辑 揭秘音乐 揭秘美术,乐乐趣 (LELEQU),图书音像,上海嘉定仓,北京,圆通快递,陆运快件,2026-04-03,2026-04-04,2026-04-04,1,17.48,12,56.54,运输中
YT2606245060872,3487415224850618422,施华寇发泥造型osis型蓬松头哑光黑人头男士发蜡女士刘海定型,施华蔻 (Schwarzkopf),个护化妆,上海嘉定仓,哈尔滨,韵达物流,同城配送,2026-06-24,2026-06-29,2026-06-29,5,18.51,1,48.64,已揽收
YT2604026802845,3480284170297685646,A17991 貔貅足金吊坠,周六福 (ZLF),珠宝礼品,广州白云仓,杭州,顺丰速运,特快专递,2026-04-02,2026-04-07,2026-04-07,5,41.16,10,998.0,已签收
YT2606111333696,3478065192640857421,潮流百搭短裤夏YG2ALV805,七匹狼 (SEPTWOLVES),服装,上海嘉定仓,济南,极兔速递,同城配送,2026-06-11,2026-06-14,2026-06-14,3,12.18,2,32.62,已签收
